idx,dims,k,shape,arm,result,seconds
277,"(3, 7, 9)",11,3x7x9,hydra_satsuma,TIMEOUT,298.4
277,"(3, 7, 9)",11,3x7x9,kissat,TIMEOUT,300.0
279,"(3, 7, 9)",11,3x7x8,cadical,TIMEOUT,300.0
279,"(3, 7, 9)",11,3x7x8,cadical_lex,TIMEOUT,300.0
279,"(3, 7, 9)",11,3x7x8,hydra_satsuma,TIMEOUT,298.4
279,"(3, 7, 9)",11,3x7x8,kissat,TIMEOUT,300.0
280,"(3, 7, 9)",11,3x7x7,cadical,TIMEOUT,300.0
280,"(3, 7, 9)",11,3x7x7,cadical_lex,TIMEOUT,300.0
280,"(3, 7, 9)",11,3x7x7,hydra_satsuma,TIMEOUT,298.4
280,"(3, 7, 9)",11,3x7x7,kissat,TIMEOUT,300.0
281,"(3, 7, 9)",11,3x7x8,cadical,TIMEOUT,300.0
281,"(3, 7, 9)",11,3x7x8,cadical_lex,TIMEOUT,300.0
281,"(3, 7, 9)",11,3x7x8,hydra_satsuma,TIMEOUT,298.4
281,"(3, 7, 9)",11,3x7x8,kissat,TIMEOUT,300.0
283,"(3, 7, 9)",11,3x7x8,cadical,SAT,104.1
283,"(3, 7, 9)",11,3x7x8,cadical_lex,TIMEOUT,300.0
283,"(3, 7, 9)",11,3x7x8,hydra_satsuma,SAT,19.8
283,"(3, 7, 9)",11,3x7x8,kissat,SAT,12.8
287,"(3, 7, 9)",11,3x7x9,cadical,TIMEOUT,300.0
287,"(3, 7, 9)",11,3x7x9,cadical_lex,TIMEOUT,300.0
287,"(3, 7, 9)",11,3x7x9,hydra_satsuma,TIMEOUT,298.4
287,"(3, 7, 9)",11,3x7x9,kissat,TIMEOUT,300.0
288,"(4, 6, 9)",11,4x6x9,cadical,TIMEOUT,300.0
288,"(4, 6, 9)",11,4x6x9,cadical_lex,TIMEOUT,300.0
288,"(4, 6, 9)",11,4x6x9,hydra_satsuma,TIMEOUT,298.4
288,"(4, 6, 9)",11,4x6x9,kissat,TIMEOUT,300.0
290,"(4, 6, 9)",11,4x6x8,cadical,TIMEOUT,300.0
290,"(4, 6, 9)",11,4x6x8,cadical_lex,TIMEOUT,300.0
290,"(4, 6, 9)",11,4x6x8,hydra_satsuma,TIMEOUT,298.4
290,"(4, 6, 9)",11,4x6x8,kissat,TIMEOUT,300.0
291,"(4, 6, 9)",11,4x6x8,cadical,TIMEOUT,300.0
291,"(4, 6, 9)",11,4x6x8,cadical_lex,TIMEOUT,300.0
291,"(4, 6, 9)",11,4x6x8,hydra_satsuma,TIMEOUT,298.3
291,"(4, 6, 9)",11,4x6x8,kissat,TIMEOUT,300.0
292,"(4, 6, 9)",11,4x6x9,cadical,TIMEOUT,300.0
292,"(4, 6, 9)",11,4x6x9,cadical_lex,TIMEOUT,300.0
292,"(4, 6, 9)",11,4x6x9,hydra_satsuma,TIMEOUT,298.4
292,"(4, 6, 9)",11,4x6x9,kissat,TIMEOUT,300.0
293,"(4, 6, 9)",11,4x6x9,cadical,TIMEOUT,300.0
293,"(4, 6, 9)",11,4x6x9,cadical_lex,TIMEOUT,300.0
293,"(4, 6, 9)",11,4x6x9,hydra_satsuma,TIMEOUT,298.3
293,"(4, 6, 9)",11,4x6x9,kissat,TIMEOUT,300.0
294,"(4, 6, 9)",11,4x6x9,cadical,TIMEOUT,300.0
294,"(4, 6, 9)",11,4x6x9,cadical_lex,TIMEOUT,300.0
294,"(4, 6, 9)",11,4x6x9,hydra_satsuma,TIMEOUT,298.4
294,"(4, 6, 9)",11,4x6x9,kissat,TIMEOUT,300.0
295,"(4, 6, 9)",11,4x6x8,cadical,TIMEOUT,300.0
295,"(4, 6, 9)",11,4x6x8,cadical_lex,TIMEOUT,300.0
295,"(4, 6, 9)",11,4x6x8,hydra_satsuma,TIMEOUT,298.4
295,"(4, 6, 9)",11,4x6x8,kissat,TIMEOUT,300.0
296,"(4, 6, 9)",11,4x6x8,cadical,TIMEOUT,300.0
296,"(4, 6, 9)",11,4x6x8,cadical_lex,TIMEOUT,300.0
296,"(4, 6, 9)",11,4x6x8,hydra_satsuma,TIMEOUT,298.3
296,"(4, 6, 9)",11,4x6x8,kissat,TIMEOUT,300.0
298,"(4, 6, 9)",11,4x6x9,cadical,TIMEOUT,300.0
298,"(4, 6, 9)",11,4x6x9,cadical_lex,TIMEOUT,300.0
298,"(4, 6, 9)",11,4x6x9,hydra_satsuma,TIMEOUT,298.4
298,"(4, 6, 9)",11,4x6x9,kissat,TIMEOUT,300.0
299,"(4, 6, 9)",11,4x6x8,cadical,TIMEOUT,300.0
299,"(4, 6, 9)",11,4x6x8,cadical_lex,TIMEOUT,300.0
299,"(4, 6, 9)",11,4x6x8,hydra_satsuma,TIMEOUT,298.3
299,"(4, 6, 9)",11,4x6x8,kissat,TIMEOUT,300.0
300,"(4, 6, 9)",11,4x6x8,cadical,TIMEOUT,300.0
300,"(4, 6, 9)",11,4x6x8,cadical_lex,TIMEOUT,300.0
300,"(4, 6, 9)",11,4x6x8,hydra_satsuma,TIMEOUT,298.4
300,"(4, 6, 9)",11,4x6x8,kissat,TIMEOUT,300.0
301,"(4, 6, 9)",11,4x6x9,cadical,TIMEOUT,300.0
301,"(4, 6, 9)",11,4x6x9,cadical_lex,TIMEOUT,300.0
301,"(4, 6, 9)",11,4x6x9,hydra_satsuma,TIMEOUT,298.4
301,"(4, 6, 9)",11,4x6x9,kissat,TIMEOUT,300.0
302,"(4, 6, 9)",11,4x6x9,cadical,TIMEOUT,300.0
302,"(4, 6, 9)",11,4x6x9,cadical_lex,TIMEOUT,300.0
302,"(4, 6, 9)",11,4x6x9,hydra_satsuma,TIMEOUT,298.4
302,"(4, 6, 9)",11,4x6x9,kissat,TIMEOUT,300.0
303,"(4, 6, 9)",11,4x6x9,cadical,TIMEOUT,300.0
303,"(4, 6, 9)",11,4x6x9,cadical_lex,TIMEOUT,300.0
303,"(4, 6, 9)",11,4x6x9,hydra_satsuma,TIMEOUT,298.4
